hsib1 hsib2 Probability
L0474 L1658 0.058
L0474 L1655 0.805
L0473 L1223 0.992
L0659 L1642 0.992
L0659 L1317 0.150
L1311 L1660 0.178
L0470 L0265 0.927
L0470 L1593 0.821
L0470 L0316 0.983
L1263 L0356 0.950
L1263 L0340 0.017
L1263 L1100 0.889
L1263 L0431 0.879
L1263 L1671 0.506
L1263 L0372 0.734
L0852 L0257 0.070
L0852 L1178 0.732
L0656 L0409 0.228
L0656 L1075 0.964
L0656 L0402 0.996
L1269 L0346 0.922
L1269 L0418 0.799
L1269 L0371 0.984
L1261 L1622 0.730
L1261 L0412 0.060
L1261 L0454 0.916
L1261 L1111 0.054
L0847 L0647 0.992
L0847 L0486 0.295
L2492 L0350 0.936
L1677 L0347 0.999
L1677 L1676 0.997
L1700 L2527 0.995
L1700 L1673 0.841
L1700 L1209 0.918
L1699 L1692 0.973
L0845 L0374 0.278
L0845 L1619 0.181
L0451 L0353 0.846
L0451 L1215 0.995
L1675 L1093 0.107
L1675 L0289 0.997
L0651 L1078 0.990
L0651 L1179 0.992
L0651 L0371 0.877
L2527 L1673 0.825
L1697 L0379 0.977
L1697 L0403 0.466
L1697 L0437 0.841
L2489 L1266 0.966
L2489 L1317 0.815
L1696 L0326 0.864
L1696 L0348 0.039
L1696 L0454 0.980
L1696 L1722 0.030
L1696 L0388 0.005
L0409 L0402 0.947
L0408 L1223 0.992
L0406 L0312 0.961
L0406 L1304 0.640
L0406 L1618 0.879
L0406 L0418 0.988
L0647 L1649 0.994
L0647 L0486 0.128
L0647 L1209 0.964
L1670 L1639 0.962
L1670 L1071 0.996
L1670 L1225 0.001
L0401 L0322 0.994
L0401 L0463 0.998
L0399 L0369 0.793
L0399 L0299 0.621
L0399 L0281 0.776
L0399 L1074 0.615
L0396 L1601 0.892
L0840 L1610 0.997
L0393 L1103 0.995
L0392 L1642 0.939
L0392 L0844 0.991
L0644 L0690 0.947
L0376 L0353 0.991
L0376 L1618 0.191
L0376 L0338 0.173
L0376 L1671 0.234
L0376 L1223 0.884
L0374 L1619 0.627
L0374 L1074 0.919
L0374 L1658 0.626
L1660 L0285 0.999
L1660 L0436 0.527
L1660 L1097 0.996
L1660 L1674 0.979
L0369 L0299 0.994
L0369 L0281 0.990
L0369 L1074 0.058
L0369 L1211 0.886
L0369 L0666 0.989
L0836 L1655 0.005
L0366 L1085 0.860
L0366 L0419 0.992
L0366 L0320 0.129
L0366 L0333 0.869
L0366 L0382 0.699
L0366 L0853 0.234
L0366 L2233 0.464
L0366 L0275 0.764
L0364 L1649 0.648
L0364 L0485 0.595
L0364 L1278 0.978
L0364 L0748 0.561
L0364 L0487 0.942
L0362 L0285 0.974
L0362 L0327 0.998
L0362 L0277 0.310
L0357 L0641 0.999
L0357 L0296 0.852
L0357 L0295 0.993
L0357 L0457 0.999
L0356 L0340 0.995
L0356 L0654 0.976
L0356 L0372 0.875
L1665 L1098 0.995
L0353 L1215 0.984
L0353 L1618 0.917
L0353 L0338 0.777
L0353 L1671 0.804
L0351 L2230 0.979
L0351 L1271 0.953
L0347 L0302 0.957
L0347 L0262 0.905
L0347 L1676 0.995
L0347 L0328 0.984
L0641 L0296 0.995
L0641 L1107 0.105
L0641 L0457 0.994
L0641 L0445 0.995
L0641 L1315 0.937
L0344 L0432 0.490
L0344 L0339 0.662
L0340 L0372 0.358
L0336 L1093 0.690
L0332 L0481 0.920
L0329 L0468 0.957
L0326 L0348 0.990
L0326 L0454 0.913
L0326 L1722 0.999
L0326 L1628 0.004
L0325 L1092 0.640
L0325 L2239 0.534
L0322 L0463 0.966
L0322 L1098 0.996
L0314 L0302 0.998
L0314 L0276 0.887
L0314 L1612 0.527
L0314 L1614 0.915
L0312 L1618 0.916
L0312 L0418 0.973
L0307 L1615 0.809
L0307 L1109 0.917
L0303 L1597 0.998
L0348 L0454 0.213
L0348 L1722 0.381
L0302 L0276 0.993
L0302 L0262 0.872
L0302 L0328 0.259
L0302 L1614 0.995
L0299 L1074 1.000
L0299 L1658 0.004
L0296 L0457 0.991
L0296 L1315 0.021
L0296 L1628 0.995
L0295 L0410 0.981
L0295 L1315 0.499
L0294 L0428 0.928
L0294 L0335 0.967
L0292 L0391 0.377
L0292 L1628 0.156
L0287 L0441 0.968
L0287 L1114 0.116
L0287 L1598 0.745
L0286 L0265 0.878
L0286 L1593 0.686
L0286 L1268 0.998
L0285 L0436 0.877
L0285 L1097 0.841
L0285 L1674 0.934
L0285 L0277 0.737
L0282 L1303 0.001
L0281 L1074 0.999
L0281 L1658 0.004
L0276 L0456 0.989
L0276 L1614 0.086
L0278 L2524 0.302
L0278 L0462 0.601
L0273 L0339 0.576
L0273 L1212 0.012
L0270 L0468 0.928
L0266 L1175 0.972
L0266 L0417 0.979
L0265 L0316 0.992
L0265 L1268 0.963
L0262 L1260 0.917
L0262 L0328 0.830
L0260 L1265 0.090
L0260 L0481 0.778
L0260 L1181 0.962
L0260 L1628 0.003
L0260 L0345 0.986
L0257 L2235 0.994
L0257 L1313 0.997
L0257 L2200 0.994
L1267 L1225 0.796
L1177 L1641 0.473
L1215 L0341 0.934
L1170 L1081 0.991
L1266 L1317 0.747
L1624 L0444 0.995
L1265 L0481 0.949
L1265 L1181 0.344
L1265 L1628 0.003
L1265 L0345 0.936
L1622 L0454 0.886
L1080 L0382 0.976
L0441 L1114 0.971
L0441 L1598 0.800
L0441 L0255 0.002
L1619 L0367 0.853
L1117 L1629 0.158
L1117 L1630 0.991
L1117 L0663 0.995
L1114 L0433 0.859
L1114 L0977 0.713
L1114 L1598 0.162
L1112 L0439 0.982
L1113 L0459 0.783
L1107 L0445 0.972
L1107 L1180 0.983
L0436 L1097 0.931
L0436 L1674 0.329
L1100 L0431 0.950
L1100 L1671 0.162
L1099 L0334 0.989
L2524 L0403 0.969
L0433 L1211 0.046
L0433 L0274 0.764
L0433 L2235 0.965
L0433 L0977 0.962
L1093 L1081 0.954
L1092 L1641 0.995
L1092 L2239 0.930
L0432 L1214 0.993
L0432 L0339 0.888
L0432 L0886 0.990
L1091 L0289 0.819
L1091 L1181 0.999
L1091 L0277 0.995
L1089 L0315 0.983
